iter	Passed	Remaining
0	181	90348
1	277	69154
2	361	59846
3	462	57332
4	547	54197
5	633	52124
6	701	49417
7	760	46795
8	825	45031
9	899	44087
10	967	43011
11	1044	42456
12	1126	42218
13	1223	42469
14	1301	42077
15	1398	42302
16	1490	42352
17	1628	43599
18	1724	43662
19	1832	43987
20	1931	44059
21	2027	44057
22	2113	43828
23	2213	43891
24	2303	43762
25	2398	43733
26	2448	42897
27	2505	42242
28	2597	42179
29	2683	42045
30	2772	41945
31	2848	41661
32	2934	41525
33	3015	41328
34	3094	41117
35	3169	40855
36	3256	40750
37	3351	40752
38	3434	40603
39	3516	40444
40	3601	40321
41	3696	40306
42	3782	40204
43	3848	39889
44	3944	39886
45	4028	39758
46	4106	39581
47	4174	39308
48	4242	39051
49	4303	38728
50	4349	38293
51	4404	37948
52	4484	37824
53	4540	37502
54	4604	37254
55	4657	36923
56	4737	36820
57	4797	36563
58	4856	36301
59	4907	35990
60	4960	35702
61	5007	35378
62	5118	35503
63	5190	35362
64	5238	35055
65	5294	34816
66	5337	34495
67	5381	34187
68	5429	33915
69	5477	33647
70	5526	33394
71	5572	33124
72	5625	32904
73	5672	32655
74	5716	32391
75	5764	32158
76	5811	31925
77	5866	31738
78	5905	31468
79	5960	31290
80	6034	31216
81	6115	31175
82	6165	30974
83	6211	30759
84	6253	30531
85	6298	30318
86	6340	30097
87	6390	29916
88	6444	29760
89	6473	29491
90	6499	29212
91	6548	29042
92	6591	28848
93	6636	28664
94	6681	28483
95	6727	28312
96	6771	28132
97	6815	27958
98	6862	27796
99	6907	27628
100	6932	27385
101	6983	27248
102	7032	27103
103	7073	26935
104	7118	26780
105	7167	26641
106	7215	26500
107	7268	26383
108	7314	26239
109	7363	26106
110	7409	25968
111	7459	25843
112	7512	25728
113	7563	25610
114	7617	25501
115	7665	25374
116	7718	25265
117	7771	25157
118	7821	25041
119	7871	24927
120	7913	24785
121	7961	24667
122	8011	24554
123	8060	24440
124	8116	24350
125	8160	24222
126	8209	24111
127	8264	24020
128	8315	23914
129	8363	23805
130	8422	23724
131	8484	23655
132	8541	23570
133	8600	23490
134	8652	23394
135	8706	23303
136	8759	23209
137	8812	23117
138	8857	23004
139	8897	22879
140	8946	22777
141	9007	22708
142	9087	22687
143	9172	22677
144	9281	22722
145	9362	22699
146	9406	22587
147	9472	22528
148	9523	22434
149	9583	22361
150	9634	22267
151	9680	22163
152	9720	22046
153	9768	21947
154	9814	21844
155	9872	21769
156	9924	21681
157	9973	21588
158	10020	21490
159	10070	21399
160	10110	21289
161	10171	21221
162	10219	21128
163	10271	21044
164	10322	20958
165	10366	20857
166	10413	20764
167	10463	20677
168	10504	20574
169	10560	20499
170	10613	20420
171	10662	20332
172	10716	20255
173	10761	20162
174	10808	20073
175	10854	19982
176	10901	19894
177	10938	19788
178	10992	19713
179	11048	19642
180	11099	19561
181	11148	19480
182	11203	19406
183	11241	19305
184	11288	19221
185	11331	19129
186	11373	19036
187	11422	18956
188	11468	18871
189	11529	18811
190	11582	18738
191	11629	18655
192	11671	18565
193	11715	18479
194	11756	18388
195	11795	18294
196	11843	18215
197	11899	18149
198	11952	18078
199	11999	17998
200	12102	18002
201	12269	18100
202	12385	18119
203	12439	18049
204	12499	17986
205	12556	17920
206	12602	17838
207	12651	17760
208	12700	17683
209	12751	17608
210	12802	17535
211	12847	17452
212	12892	17372
213	12932	17283
214	12973	17197
215	13097	17220
216	13241	17268
217	13340	17257
218	13390	17180
219	13445	17112
220	13498	17041
221	13552	16971
222	13606	16900
223	13652	16821
224	13731	16783
225	13771	16696
226	13821	16621
227	13871	16548
228	13915	16467
229	13960	16388
230	13996	16299
231	14045	16225
232	14093	16149
233	14136	16069
234	14175	15985
235	14231	15919
236	14287	15854
237	14366	15815
238	14407	15733
239	14460	15665
240	14513	15597
241	14570	15534
242	14622	15465
243	14673	15395
244	14722	15323
245	14777	15257
246	14831	15192
247	14884	15124
248	14929	15049
249	14981	14981
250	15024	14904
251	15073	14834
252	15126	14767
253	15182	14704
254	15234	14637
255	15285	14569
256	15341	14505
257	15393	14438
258	15447	14374
259	15506	14314
260	15559	14248
261	15594	14166
262	15639	14093
263	15687	14023
264	15736	13955
265	15779	13880
266	15832	13816
267	15888	13753
268	15938	13687
269	15988	13619
270	16055	13567
271	16117	13509
272	16179	13452
273	16250	13403
274	16301	13337
275	16357	13275
276	16415	13215
277	16469	13151
278	16525	13089
279	16574	13022
280	16631	12962
281	16684	12897
282	16736	12833
283	16786	12767
284	16830	12696
285	16877	12628
286	16926	12562
287	16971	12493
288	17017	12424
289	17068	12360
290	17121	12296
291	17173	12233
292	17213	12161
293	17265	12097
294	17313	12031
295	17368	11970
296	17418	11905
297	17467	11840
298	17521	11778
299	17570	11713
300	17625	11652
301	17678	11590
302	17741	11534
303	17787	11468
304	17848	11411
305	17904	11351
306	17956	11288
307	18009	11226
308	18051	11157
309	18109	11099
310	18165	11039
311	18223	10981
312	18268	10914
313	18315	10849
314	18363	10784
315	18418	10724
316	18467	10660
317	18531	10606
318	18585	10545
319	18629	10479
320	18678	10415
321	18726	10351
322	18776	10289
323	18818	10222
324	18869	10160
325	18921	10098
326	18975	10039
327	19020	9974
328	19074	9914
329	19119	9849
330	19174	9790
331	19228	9729
332	19300	9679
333	19388	9636
334	19482	9596
335	19568	9551
336	19615	9487
337	19663	9424
338	19711	9361
339	19745	9291
340	19787	9226
341	19828	9160
342	19876	9097
343	19917	9032
344	19970	8972
345	20006	8904
346	20049	8840
347	20099	8779
348	20140	8714
349	20195	8655
350	20241	8592
351	20282	8528
352	20325	8464
353	20379	8405
354	20430	8344
355	20477	8282
356	20523	8220
357	20571	8159
358	20616	8097
359	20663	8035
360	20717	7976
361	20759	7913
362	20811	7854
363	20880	7801
364	20942	7745
365	20991	7685
366	21043	7625
367	21094	7566
368	21145	7506
369	21192	7446
370	21231	7382
371	21286	7324
372	21332	7263
373	21381	7203
374	21431	7143
375	21481	7084
376	21534	7025
377	21595	6970
378	21648	6911
379	21699	6852
380	21749	6793
381	21799	6733
382	21846	6673
383	21894	6614
384	21932	6551
385	21984	6492
386	22032	6433
387	22080	6373
388	22131	6315
389	22180	6256
390	22230	6197
391	22272	6136
392	22322	6077
393	22371	6018
394	22437	5964
395	22517	5913
396	22572	5856
397	22633	5800
398	22693	5744
399	22745	5686
400	22798	5628
401	22860	5573
402	22915	5515
403	22967	5457
404	23017	5399
405	23068	5340
406	23109	5280
407	23157	5221
408	23206	5163
409	23262	5106
410	23305	5046
411	23359	4989
412	23415	4932
413	23469	4875
414	23522	4817
415	23567	4758
416	23632	4703
417	23674	4644
418	23725	4586
419	23774	4528
420	23830	4471
421	23876	4413
422	23935	4357
423	23990	4300
424	24036	4241
425	24089	4184
426	24142	4127
427	24190	4069
428	24237	4011
429	24280	3952
430	24332	3895
431	24379	3837
432	24429	3780
433	24482	3723
434	24527	3664
435	24584	3608
436	24619	3549
437	24675	3492
438	24730	3436
